# Tx_arcsec,Ty_arcsec
4.873571724096517528e+02,-2.073961338963324579e+02
4.871614400559853948e+02,-2.077032978483933618e+02
4.869721993277770480e+02,-2.080160825458628722e+02
4.867898479167058667e+02,-2.083346987657918419e+02
4.866148121025520936e+02,-2.086593596188330082e+02
4.864475379066051346e+02,-2.089902712701787664e+02
4.862884782581683112e+02,-2.093276271641756239e+02
4.861380788795831904e+02,-2.096715999546574665e+02
4.859967782780765901e+02,-2.100223277801567008e+02
4.858649800763652138e+02,-2.103799099717189733e+02
4.857430384404265169e+02,-2.107444009152567617e+02
4.856312555049248090e+02,-2.111158080143421500e+02
4.855298595917214470e+02,-2.114940778822717675e+02
4.854389904524425106e+02,-2.118791101346502330e+02
4.853587015806446061e+02,-2.122707486876489611e+02
4.852889464189230466e+02,-2.126687851803761191e+02
4.852295757627304056e+02,-2.130729644509489731e+02
4.851803310777922889e+02,-2.134829871300762534e+02
4.851408660823591958e+02,-2.138985269005858640e+02
4.851107243426089326e+02,-2.143192243440511220e+02
4.850893759568212431e+02,-2.147447134487344442e+02
4.850762105217766020e+02,-2.151746072124408613e+02
4.850705629280197400e+02,-2.156085316177486675e+02
4.850717249564347071e+02,-2.160461012670023422e+02
4.850789621169633392e+02,-2.164869559139013120e+02
4.850915404880682331e+02,-2.169307351249095746e+02
4.851087285989824522e+02,-2.173770986297291472e+02
4.851298252003648486e+02,-2.178257178791972422e+02
4.851541701615946636e+02,-2.182762739234331093e+02
4.851811577313535508e+02,-2.187284572724443592e+02
4.852102527727700476e+02,-2.191819553228980908e+02
4.852409969689801983e+02,-2.196364534879500638e+02
4.852730179493560172e+02,-2.200916211495501500e+02
4.853060287979024565e+02,-2.205471093598654875e+02
4.853398346912636043e+02,-2.210025444964917369e+02
4.853743360234450961e+02,-2.214575135627938494e+02
4.854095151013407872e+02,-2.219115728920648962e+02
4.854454631877397333e+02,-2.223642279021275101e+02
4.854823494897756291e+02,-2.228149468688741024e+02
4.855204401765459465e+02,-2.232631426282676159e+02
4.855600790942295362e+02,-2.237081882591932072e+02
4.856016960393225190e+02,-2.241494147375836974e+02
4.856458012285262384e+02,-2.245861111660793483e+02
4.856929794597998011e+02,-2.250175403095598483e+02
4.857438919499882104e+02,-2.254429295470358170e+02
4.857992550615383038e+02,-2.258614980813843260e+02
4.858598494006038209e+02,-2.262724444492895373e+02
4.859264930073486539e+02,-2.266749657763892287e+02
4.860000499888762988e+02,-2.270682731991300898e+02
4.860814051776552560e+02,-2.274515779691363377e+02
4.861714452166039564e+02,-2.278241241565322639e+02
4.862710541406264610e+02,-2.281851818050652980e+02
4.863810847364734968e+02,-2.285340579501627758e+02
4.865023460397264330e+02,-2.288701152168934811e+02
4.866355811749599525e+02,-2.291927652299438876e+02
4.867814563763411684e+02,-2.295014857302056157e+02
4.869405332519082208e+02,-2.297958263442071711e+02
4.871132659445891022e+02,-2.300754218935474853e+02
4.872999812201261989e+02,-2.303399918873686261e+02
4.875008763580157165e+02,-2.305893565984193003e+02
4.877160088588850613e+02,-2.308234367281034167e+02
4.879453002392687040e+02,-2.310422641363830110e+02
4.881885301925772183e+02,-2.312459832167264437e+02
4.884453528854830324e+02,-2.314348606441248819e+02
4.887152929061712143e+02,-2.316092801373375778e+02
4.889977684017089246e+02,-2.317697474533859747e+02
4.892920867574860040e+02,-2.319168822708018922e+02
4.895974732625011825e+02,-2.320514292991256298e+02
4.899130752091255658e+02,-2.321742352925159878e+02
4.902379828350794924e+02,-2.322862578138504261e+02
4.905712374537786218e+02,-2.323885480751792443e+02
4.909118464781802231e+02,-2.324822412257386475e+02
4.912587937762858132e+02,-2.325685422808237206e+02
4.916110543575302927e+02,-2.326487179625357840e+02
4.919676042648436010e+02,-2.327240878367696553e+02
4.923274255529930201e+02,-2.327959911409019469e+02
4.926895176452764531e+02,-2.328657861033866538e+02
4.930529083075443282e+02,-2.329348298778041340e+02
4.934166563361792441e+02,-2.330044610075220817e+02
4.937798597181775904e+02,-2.330759827848652606e+02
4.941416633167750661e+02,-2.331506469949356983e+02
4.945012606795264674e+02,-2.332296321116746185e+02
4.948579080309704068e+02,-2.333140446211346273e+02
4.952109153529237346e+02,-2.334048877360166330e+02
4.955596626025543969e+02,-2.335030671013091137e+02
4.959035903398207097e+02,-2.336093672982366343e+02
4.962422176029907064e+02,-2.337244614911796816e+02
4.965751201686695708e+02,-2.338488969674088196e+02
4.969019424640526950e+02,-2.339831033265265035e+02
4.972223901867753852e+02,-2.341273963260370294e+02
4.975362214229804749e+02,-2.342819797696805040e+02
4.978432533603420893e+02,-2.344469651165930202e+02
4.981433382615763890e+02,-2.346223635066407098e+02
4.984363733565280086e+02,-2.348081254057811691e+02
4.987222823425418028e+02,-2.350041309283023168e+02
4.990010128542630241e+02,-2.352102160010600755e+02
4.992725324554062354e+02,-2.354261777396159232e+02
4.995368262966086377e+02,-2.356517888748440726e+02
4.997938985707986035e+02,-2.358868102383985672e+02
5.000437612244639354e+02,-2.361309766126245222e+02
5.002864577945268252e+02,-2.363840204156042546e+02
5.005220462107729418e+02,-2.366456555077286623e+02
5.007506251127829273e+02,-2.369155858876397645e+02
5.009723241507176112e+02,-2.371934834104417007e+02
5.011873317795470939e+02,-2.374789982510898199e+02
5.013958865178588553e+02,-2.377717297738408320e+02
5.015982978122298164e+02,-2.380712397806774732e+02
5.017949470017443900e+02,-2.383770297123556361e+02
5.019862932698505347e+02,-2.386885408541394042e+02
5.021728746174353546e+02,-2.390051552430613242e+02
5.023553002612125624e+02,-2.393261904440831529e+02
5.025342505724314037e+02,-2.396509072367972237e+02
5.027104589024626762e+02,-2.399785180178488417e+02
5.028847040955188277e+02,-2.403081936126978064e+02
5.030577854233898734e+02,-2.406390945014782403e+02
5.032305109411176431e+02,-2.409703773159881450e+02
5.034036644509963025e+02,-2.413012154890487864e+02
5.035779822344031800e+02,-2.416308301962395149e+02
5.037541255575666241e+02,-2.419585079430142969e+02
5.039326635343178395e+02,-2.422836223616607469e+02
5.041140410804876524e+02,-2.426056577780238399e+02
5.042985720054399508e+02,-2.429242148455321626e+02
5.044864069588342090e+02,-2.432390372807785184e+02
5.046775335512077163e+02,-2.435499995608756194e+02
5.048717533805323114e+02,-2.438571281371480381e+02
5.050686972739419502e+02,-2.441605851174419399e+02
5.052678174634025936e+02,-2.444606647289205625e+02
5.054683977097442380e+02,-2.447577816896627212e+02
5.056695671697959256e+02,-2.450524511879630722e+02
5.058703045097673794e+02,-2.453452642858547108e+02
5.060694713267283760e+02,-2.456368722903874300e+02
5.062658327963426359e+02,-2.459279489989216643e+02
5.064580671103428244e+02,-2.462191794759545473e+02
5.066448140426817304e+02,-2.465112177477937223e+02
5.068246735720046559e+02,-2.468046745722997741e+02
5.069962548872678099e+02,-2.471000915440120025e+02
5.071581913926777361e+02,-2.473979159281974773e+02
5.073091602283745942e+02,-2.476985007181798153e+02
5.074479121947955491e+02,-2.480020736400834664e+02
5.075732867233418233e+02,-2.483087482808062987e+02
5.076842245654968906e+02,-2.486185093738434091e+02
5.077797973585667251e+02,-2.489312196290390204e+02
5.078591955437800607e+02,-2.492466306338066317e+02
5.079217606431765830e+02,-2.495643849115788555e+02
5.079669713037014844e+02,-2.498840315818196700e+02
5.079944611626991104e+02,-2.502050484778225155e+02
5.080040051636077010e+02,-2.505268465584755688e+02
5.079955267842913713e+02,-2.508488053854282214e+02
5.079690908583083342e+02,-2.511702712699490405e+02
5.079248889576890065e+02,-2.514906048201381452e+02
5.078632411379428504e+02,-2.518091639121329308e+02
5.077845718316889929e+02,-2.521253470119753786e+02
5.076894056104067090e+02,-2.524385958029427286e+02
5.075783602705158728e+02,-2.527484064086629019e+02
5.074521130951904411e+02,-2.530543425507764823e+02
5.073114054960221324e+02,-2.533560287872268475e+02
5.071570180602759024e+02,-2.536531682711465123e+02
5.069897582390852904e+02,-2.539455372350919902e+02
5.068104500673011898e+02,-2.542329787046596437e+02
5.066199114933987175e+02,-2.545154081707604803e+02
5.064189604501071358e+02,-2.547927951404306555e+02
5.062083846060196493e+02,-2.550651706463675339e+02
